id,p_ship
305310c86.jpg,0.0015615383
ca68d8686.jpg,0.0010693228
ad5ac65d9.jpg,0.004536994
1ebe0c1d6.jpg,0.006079526
9bf98a8fc.jpg,0.00045137428
fb9f936f5.jpg,0.00048562099
ea3604b1a.jpg,0.000103102626
7c6956496.jpg,0.00045046734
c9c2fd768.jpg,0.88047314
5207731a4.jpg,0.9071759
cead0c032.jpg,0.007979662
7ae2713e5.jpg,0.0035488103
758ec0ad2.jpg,0.00038849787
cadbe769b.jpg,0.0009292188
f9d5b4326.jpg,0.0018251637
1f203efb2.jpg,0.0011059805
7aafe1a20.jpg,3.3827585e-10
1172f6a21.jpg,0.005085613
1c352ca41.jpg,0.018094074
cfd437779.jpg,0.0006500868
c7cf08fd6.jpg,0.0006743922
acb403256.jpg,1.3096287e-10
2e0d8cf0d.jpg,0.0010368513
ecd8f7d63.jpg,0.0022155626
db3330d0f.jpg,1.8990086e-05
16f154ebe.jpg,0.08232768
9ba70dc79.jpg,2.2866004e-06
997fa0659.jpg,0.004562537
f0e715b80.jpg,0.9943637
1d1bfff81.jpg,0.9979296
32cf1dd76.jpg,0.969056
361076249.jpg,0.00057783537
3f130e61c.jpg,0.0007706092
06e9fa2e3.jpg,0.0012188663
02338da73.jpg,0.96560824
b5da359a3.jpg,9.30604e-05
a164a8e90.jpg,0.00093581615
fe9f01572.jpg,0.99988747
4e3151f67.jpg,0.003608624
2aa37a78f.jpg,0.9900791
8639f9b7b.jpg,0.114733934
2abadf86a.jpg,0.9896574
2cfd76b79.jpg,0.0008211921
71726c964.jpg,0.9676208
c6ddc306c.jpg,0.0013374697
0c3b8094a.jpg,0.013004867
ca32f61ba.jpg,0.017000541
bb9d65a40.jpg,0.0011171759
2256cd51b.jpg,0.20912394
c531fe273.jpg,0.0009064426
f7b0a4879.jpg,0.00020152525
5fd01e1ae.jpg,0.003947026
ae4a4b6c1.jpg,0.002843038
ada7fd21f.jpg,0.016822377
22633d3cf.jpg,0.00086912117
4e7930947.jpg,0.93145126
e89b63b3c.jpg,0.19587922
618b30417.jpg,0.0024451122
58f431a29.jpg,0.99933314
e8153da67.jpg,0.9993667
c32adf7eb.jpg,0.006517626
8db305fc6.jpg,0.0022279653
ebe452955.jpg,0.89779985
574ab9557.jpg,0.0014780669
ccd9ca8b4.jpg,0.60865974
6654081ff.jpg,0.0008718083
8808327d0.jpg,0.13211076
ae9a08323.jpg,0.9720533
7175f470e.jpg,0.0051780455
cfefef362.jpg,0.00016432678
3751e6ee5.jpg,0.78147393
18e132a8d.jpg,0.00024466854
f7ca1b50a.jpg,0.013077132
952b9ab2f.jpg,1.4171163e-06
ed3a51af3.jpg,0.0021903594
5ad99a108.jpg,0.0010599657
e23aba0d5.jpg,0.055799726
22f5228f0.jpg,0.0013852279
0243df8bd.jpg,0.9998565
beac22e40.jpg,0.0002967848
3c30bc594.jpg,0.0005582197
172ad3f25.jpg,0.0034283723
0f9ffb979.jpg,0.0013544322
7ffe578f6.jpg,0.9994751
